iter	Passed	Remaining
0	165	164988
1	169	84724
2	173	57768
3	178	44386
4	183	36540
5	187	31134
6	192	27341
7	197	24452
8	202	22276
9	208	20644
10	211	18999
11	213	17618
12	216	16424
13	218	15401
14	223	14665
15	225	13886
16	228	13195
17	230	12584
18	232	12029
19	237	11628
20	239	11162
21	240	10711
22	242	10294
23	243	9910
24	245	9562
25	246	9243
26	248	8944
27	249	8670
28	251	8419
29	252	8179
30	254	7954
31	255	7743
32	257	7546
33	258	7356
34	260	7174
35	261	7002
36	262	6839
37	265	6712
38	266	6567
39	267	6426
40	269	6292
41	270	6165
42	271	6041
43	272	5924
44	273	5811
45	275	5704
46	276	5601
47	277	5503
48	280	5439
49	281	5350
50	282	5264
51	284	5181
52	285	5100
53	286	5022
54	287	4947
55	289	4873
56	290	4803
57	291	4734
58	292	4672
59	294	4617
60	296	4562
61	297	4504
62	299	4448
63	300	4393
64	301	4338
65	302	4285
66	303	4233
67	305	4182
68	306	4133
69	307	4086
70	309	4050
71	310	4005
72	312	3962
73	313	3919
74	314	3877
75	315	3837
76	316	3797
77	317	3757
78	319	3720
79	320	3684
80	321	3649
81	323	3625
82	324	3585
83	325	3552
84	326	3519
85	328	3487
86	329	3456
87	330	3425
88	331	3395
89	332	3366
90	334	3337
91	335	3312
92	336	3285
93	339	3268
94	340	3242
95	341	3216
96	342	3190
97	343	3165
98	345	3140
99	346	3116
100	347	3092
101	348	3068
102	350	3052
103	351	3030
104	353	3016
105	355	2995
106	356	2974
107	357	2953
108	358	2933
109	360	2912
110	361	2892
111	362	2873
112	363	2854
113	365	2838
114	366	2823
115	370	2823
116	371	2805
117	373	2793
118	375	2778
119	376	2764
120	378	2748
121	379	2730
122	380	2714
123	381	2697
124	384	2688
125	385	2675
126	386	2659
127	388	2644
128	389	2631
129	390	2615
130	392	2601
131	393	2586
132	394	2572
133	395	2558
134	397	2543
135	399	2537
136	400	2524
137	401	2510
138	403	2497
139	404	2483
140	405	2470
141	406	2455
142	407	2442
143	408	2430
144	409	2417
145	411	2405
146	412	2392
147	414	2387
148	415	2375
149	417	2364
150	418	2352
151	419	2341
152	420	2329
153	422	2318
154	423	2307
155	424	2296
156	425	2285
157	426	2274
158	429	2269
159	430	2259
160	431	2246
161	432	2236
162	433	2225
163	434	2216
164	435	2206
165	437	2196
166	438	2186
167	439	2176
168	440	2167
169	442	2158
170	444	2153
171	445	2144
172	446	2135
173	447	2126
174	449	2117
175	450	2108
176	451	2099
177	452	2091
178	454	2082
179	455	2074
180	456	2065
181	458	2061
182	459	2053
183	461	2045
184	462	2036
185	463	2028
186	464	2020
187	465	2012
188	467	2004
189	468	1996
190	469	1989
191	471	1982
192	472	1976
193	474	1971
194	476	1965
195	477	1958
196	478	1952
197	480	1945
198	481	1938
